PAIR,Common Freq,f1,f1 h1,f1 h2,f1 h3,f2,f2 h1,f2 h2,f2 h3
1,600,150,2,3,4,100,4,5,6
2,1200,150,6,7,8,100,10,11,12
3,2400,300,6,7,8,240,8,9,10
4,3300,150,20,21,22,100,31,32,33
5,4800,80,58,59,60,120,38,39,40
6,5700,150,36,37,38,100,55,56,57
7,6480,80,79,80,81,120,52,53,54
8,7200,300,22,23,24,240,28,29,30
9,8160,80,100,101,102,120,66,67,68
10,9600,300,30,31,32,240,38,39,40
11,17600,800,20,21,22,586.7,28,29,30
12,15000,750,18,19,20,1500,8,9,10
13,12600,700,16,17,18,1260,8,9,10
14,11000,1100,8,9,10,2200,3,4,5
15,10000,3333,1,2,3,2500,2,3,4
16,,60,3,4,5,50,4,5,6
17,,42.86,5,6,7,37.5,6,7,8
18,,33.33,7,8,9,30,8,9,10
19,,100,3,4,5,83.33,4,5,6
20,,71.43,5,6,7,62.5,6,7,8
21,,55.56,7,8,9,50,8,9,10
22,,180,3,4,5,150,4,5,6
23,,128.6,5,6,7,112.5,6,7,8
24,,100,7,8,9,90,8,9,10
25,,280,3,4,5,233.3,4,5,6
26,,200,5,6,7,175,6,7,8
27,,155.6,7,8,9,140,8,9,10
28,,440,3,4,5,366.7,4,5,6
29,,314.3,5,6,7,275,6,7,8
30,,244.4,7,8,9,220,8,9,10
