0,start(ticks),datetime_start,end(ticks),sound1,sound2,subject,actions,decision
0,1573,2023-11-30 16:43:18.965736,6409,18,105,Tyler,,Different
0,8386,2023-11-30 16:43:25.778539,12109,128,415,Tyler,,Different
0,2043,2023-11-30 16:45:49.862854,61866,376,328,Tyler,-p1--p2--p2--p1--p2--p1--s-,Same
0,64024,2023-11-30 16:46:51.842319,67882,193,377,Tyler,-p1--p2--p2--p1--p2--p1--s--p1--p2--d-,Different
0,89108,2023-11-30 16:47:16.925228,94815,224,366,Tyler,-p1--p2--p2--p1--p2--p1--s--p1--p2--d--p1--p2--d-,Different
0,1907,2023-11-30 16:47:52.880545,6206,31,407,Tyler,-p1--p2--d-,Different
0,225322,2023-11-30 16:51:36.291260,256761,343,60,Jake,-p1--p1--p1--p2--p2--p2--p2--p2--p2--p2--p2--p2--p2--p2--p2--p2--p2--p2--p2--p2--p2--d-,Different
0,287305,2023-11-30 16:52:38.273309,297413,416,82,Jake,-p1--p2--p1--p2--s-,Same
0,298671,2023-11-30 16:52:49.638305,326696,348,139,Jake,-p1--p2--p1--p2--d-,Different
0,328039,2023-11-30 16:53:19.006023,353165,146,98,Jake,-p1--p2--s-,Same
0,354720,2023-11-30 16:53:45.686451,366413,277,234,Jake,-p1--p2--p1--p2--s-,Same
0,368592,2023-11-30 16:53:59.558345,375612,81,111,Jake,-p1--p2--s-,Same
0,376641,2023-11-30 16:54:07.606906,392032,302,485,Jake,-p1--p1--p2--d-,Different
0,393197,2023-11-30 16:54:24.163190,408712,125,22,Jake,-p1--p2--d-,Different
0,410156,2023-11-30 16:54:41.121633,416465,487,19,Jake,-p1--p2--d-,Different
0,419095,2023-11-30 16:54:50.060273,424598,212,225,Jake,-p1--p2--s-,Same
0,426181,2023-11-30 16:54:57.146371,438465,416,15,Jake,-p1--p2--p1--p2--d-,Different
0,440039,2023-11-30 16:55:11.004196,445249,258,442,Jake,-p1--p2--s-,Same
0,447795,2023-11-30 16:55:18.759525,458181,286,258,Jake,-p1--p2--p1--p2--s-,Same
0,459679,2023-11-30 16:55:30.642947,496301,42,336,Jake,-p1--p2--d-,Different
0,4589,2023-11-30 16:58:57.993733,12625,285,142,Jake,-p1--p2--d-,Different
0,30235,2023-11-30 16:59:23.639568,45093,188,187,Jake,-p1--p2--p1--p2--s-,Same
0,6514,2023-11-30 17:02:22.109067,19933,445,339,Jake,-p1--p2--p1--p2--s-,Same
0,29547,2023-11-30 17:02:45.141139,33934,375,163,Jake,-p1--p2--d-,Different
0,36915,2023-11-30 17:02:52.509287,41149,79,256,Jake,-p1--p2--d-,Different
0,66222,2023-11-30 17:03:21.816313,161952,457,125,Jack,-p1--p2--p2--p1--p1--p2--d-,Different
0,171087,2023-11-30 17:05:06.678398,270920,4,225,Jack,-p1--p2--p1--p2--d--p2--p2--p1--s-,Same
0,319743,2023-11-30 17:07:35.350125,329339,79,403,Jack,-p1--p2--s-,Same
0,342264,2023-11-30 17:07:57.870552,348607,43,13,Jack,-p1--p2--d-,Different
0,351254,2023-11-30 17:08:06.860883,362456,453,122,Jack,-p1--p2--p1--p2--s-,Same
